,Epoch,Train_accuracy,Test_accuracy
0,Epoch1,0.5178694158075602,0.6021577882670263
1,Epoch2,0.670274914089347,0.7093728927848955
2,Epoch3,0.7515463917525773,0.6871207012811867
3,Epoch4,0.815807560137457,0.7383681726230613
4,Epoch5,0.8417525773195876,0.7538772757923129
5,Epoch6,0.8881443298969072,0.8320971004720162
6,Epoch7,0.9085910652920962,0.8476062036412677
7,Epoch8,0.9381443298969072,0.8523263654753878
8,Epoch9,0.9434707903780069,0.8334457181389077
9,Epoch10,0.94553264604811,0.8469318948078219
10,Epoch11,0.9694158075601376,0.815913688469319
11,Epoch12,0.9515463917525772,0.803776129467296
